client_id,start,step_1,step_2,step_3,confirm
8030,2,1,1,0,1
8039,1,1,1,1,0
8055,1,1,1,1,1
8101,1,1,1,1,1
8124,1,0,0,0,0
8427,1,1,1,1,1
8583,2,1,1,0,0
8610,2,0,0,0,0
8673,1,1,1,1,1
8712,2,2,2,0,0
8820,1,1,1,1,1
8983,2,2,1,1,2
9229,3,3,2,0,0
9282,3,3,2,1,2
9412,1,1,1,1,2
9536,3,2,1,1,1
9651,1,1,1,1,1
9751,3,2,2,0,0
9754,1,1,1,1,1
9767,3,2,2,2,1
9845,1,0,0,0,0
9872,2,2,0,0,0
9916,1,1,1,1,1
10203,1,2,2,1,1
10344,5,0,0,0,0
10363,1,1,0,0,0
10434,1,1,0,0,0
10552,2,1,1,0,0
10825,1,1,1,1,1
11040,1,1,1,1,1
11054,2,1,1,1,1
11070,5,2,2,2,1
11122,1,1,1,1,1
11309,1,1,1,1,2
11368,1,1,1,1,1
11443,3,2,2,1,1
11726,1,1,1,1,1
11855,1,2,2,1,1
11880,5,2,1,1,2
11922,2,2,1,1,1
12045,2,1,1,0,0
12062,2,0,0,0,0
12115,2,1,0,0,0
12627,1,1,1,1,1
12785,1,1,2,2,1
13009,1,1,2,4,1
13183,1,1,1,1,1
13318,1,1,0,0,0
13340,2,2,1,1,1
13413,3,2,2,1,1
13673,1,1,1,1,3
13705,2,1,0,0,0
13735,1,1,1,1,2
13756,1,0,0,0,0
13763,2,1,0,0,0
13831,6,2,1,0,0
13850,1,1,1,1,1
13853,1,1,1,1,1
13931,1,1,1,1,1
14069,2,0,0,0,0
14209,2,1,1,1,1
14255,3,1,0,0,0
14307,3,3,2,1,0
14366,1,1,1,1,1
14367,1,1,1,1,1
14630,1,2,3,2,1
14638,3,1,1,1,2
14664,6,0,0,0,0
14690,2,1,0,0,0
14716,1,1,3,3,1
14775,1,0,0,0,0
15050,3,3,1,1,1
15189,1,1,1,1,1
15246,1,1,1,0,0
15352,11,2,2,2,0
15398,1,1,1,1,1
15543,2,1,1,1,2
15644,1,2,1,1,1
15650,3,1,1,1,1
15688,1,2,2,2,1
15708,2,1,1,1,1
15753,5,2,2,1,0
15757,2,0,0,0,0
15807,2,1,1,1,0
15819,1,1,1,1,1
15961,1,1,0,0,0
16095,1,1,1,1,0
16098,1,1,1,1,1
16135,7,5,1,1,1
16202,2,1,0,0,0
16243,3,1,1,1,0
16291,3,2,2,2,2
16295,3,3,1,1,1
16549,4,2,2,2,2
16679,6,1,1,0,0
16744,2,0,0,0,0
16747,1,1,1,1,1
16855,2,2,1,1,1
16881,1,0,0,0,0
17008,1,1,1,1,1
17036,1,1,1,1,1
17160,4,3,1,1,1
17170,1,1,1,1,1
17303,1,1,1,1,1
17318,2,1,1,1,0
17366,1,1,1,0,0
17404,1,1,1,1,1
17455,1,1,1,1,0
17818,1,1,1,1,1
18147,3,1,1,1,0
18235,1,0,0,0,0
18316,2,2,2,2,0
18449,1,0,0,0,0
18524,1,1,1,1,1
18549,1,1,1,1,3
18654,1,1,1,1,1
18660,2,2,0,0,0
18720,2,2,2,2,1
18844,1,1,1,1,1
18917,1,0,0,0,0
18973,2,1,1,1,1
18974,1,1,1,1,0
19039,1,0,0,0,0
19060,2,1,1,1,0
19225,1,0,0,0,0
19245,1,1,1,1,1
19259,1,1,1,1,1
19263,2,1,1,1,1
19330,1,1,1,1,1
19394,7,1,1,3,0
19435,1,1,1,1,2
19573,2,2,1,1,1
19613,1,0,0,0,0
19663,1,2,2,1,1
19782,1,1,1,1,1
19813,2,1,1,1,1
19832,1,1,1,1,1
20006,1,1,1,1,1
20091,3,2,1,1,1
20108,1,0,0,0,0
20121,1,1,1,1,1
20185,6,10,10,3,1
20389,1,1,2,1,1
20537,1,1,1,1,1
20564,1,1,3,4,1
20643,1,1,1,1,1
20668,2,1,0,0,0
20730,2,2,1,1,1
20898,1,0,0,0,0
21011,2,2,1,1,1
21098,1,0,0,0,0
21200,2,1,1,1,0
21242,1,1,1,1,1
21273,1,1,0,0,0
21280,2,0,0,0,0
21281,2,3,2,1,1
21353,1,1,3,3,1
21403,5,0,0,0,0
21498,5,2,2,2,1
21522,9,3,2,2,0
21596,2,2,1,1,1
21600,3,2,1,0,0
21663,1,1,1,1,1
21719,1,1,1,1,0
21940,5,2,2,1,1
21970,2,2,2,2,1
22007,1,1,1,1,2
22194,2,2,1,1,1
22585,1,1,1,1,1
22676,1,1,0,0,0
22714,1,1,1,1,1
22793,1,1,1,0,0
22856,2,3,1,1,1
22883,1,1,1,1,1
22885,5,7,6,5,0
23169,2,1,1,1,0
23175,2,2,1,1,1
23181,1,3,4,1,1
23261,2,2,1,1,2
23276,1,1,1,3,1
23308,3,1,1,0,0
23400,1,2,1,0,0
23464,3,3,2,2,0
23538,1,1,1,1,1
23620,1,2,1,1,1
23690,1,1,1,1,1
23834,2,1,0,0,0
23864,1,1,1,1,1
23890,1,1,1,1,1
23914,1,1,1,1,1
24002,1,1,1,0,0
24006,3,5,1,1,2
24013,1,2,1,0,0
24079,3,0,0,0,0
24360,2,0,0,0,0
24443,6,6,5,3,1
24491,3,1,1,1,1
24572,2,2,1,1,1
24586,3,1,1,1,0
24673,4,0,0,0,0
24703,1,1,1,1,1
24710,1,1,1,1,1
24795,2,2,1,1,1
24841,2,2,1,1,6
24848,5,4,4,3,1
24871,2,1,1,2,0
25010,3,3,2,2,1
25022,1,1,1,1,1
25026,1,1,1,1,2
25043,1,1,1,1,1
25378,2,2,2,1,0
25409,2,0,0,0,0
25424,1,1,1,1,1
25560,5,2,1,1,1
25664,2,0,0,0,0
25667,1,1,1,1,1
25702,3,6,7,3,1
25766,1,1,2,2,1
26002,1,1,1,1,1
26036,1,1,1,1,1
26070,1,1,1,1,1
26105,2,1,1,1,1
26122,2,1,1,1,1
26196,2,0,0,0,3
26211,1,1,1,1,1
26286,1,1,0,0,0
26451,1,1,1,1,2
26696,3,0,0,0,0
26747,1,1,1,1,1
26763,2,1,1,1,1
26825,4,1,2,1,0
26938,1,1,1,1,1
27021,2,2,2,2,1
27075,1,1,1,1,1
27142,5,2,0,0,0
27241,3,3,2,1,1
27270,2,2,4,4,1
27554,1,1,1,1,1
27605,1,1,1,1,8
27764,2,2,1,1,3
27907,1,1,1,1,1
27943,2,1,1,1,3
27988,8,2,2,1,1
28076,2,0,0,0,0
28241,1,1,1,1,2
28277,2,2,1,2,1
28371,2,2,2,1,1
28442,1,1,1,1,1
28515,10,11,7,2,1
28542,1,1,1,1,1
28696,14,1,1,1,1
28705,3,3,2,1,1
28710,1,1,1,1,1
28731,3,2,1,0,0
28845,1,1,1,1,1
28857,4,5,4,3,1
28911,1,1,0,0,0
28978,2,5,5,1,1
29079,2,2,1,1,1
29227,3,1,1,1,2
29267,4,3,3,2,0
29304,1,1,1,1,1
29344,4,3,3,2,1
29372,5,6,2,0,0
29399,1,1,1,1,1
29527,1,1,2,1,1
29595,1,1,1,1,3
29712,6,0,0,0,0
29716,1,1,2,1,1
29772,1,1,1,1,1
29857,1,1,1,1,1
29861,1,1,1,1,1
30096,1,1,0,0,0
30172,1,1,0,0,0
30181,2,1,1,0,0
30199,1,1,1,1,1
30318,5,3,2,2,1
30323,1,2,0,0,0
30360,1,1,1,1,1
30462,1,0,0,0,0
30493,2,3,1,1,1
30592,5,1,0,0,0
30630,3,2,1,1,1
30666,1,3,3,2,1
31166,2,0,0,0,0
31191,2,0,0,0,0
31264,3,2,2,1,1
31336,2,6,4,2,2
31404,1,1,1,1,1
31499,3,2,2,1,1
31502,2,2,2,2,1
31597,16,10,9,9,8
31669,3,2,0,0,0
31715,1,1,1,1,1
31766,3,3,1,0,0
32084,4,4,0,1,1
32101,1,1,1,1,1
32197,1,1,1,1,1
32290,2,1,0,0,0
32305,1,1,0,0,0
32355,1,0,0,0,0
32386,1,3,3,2,1
32429,4,1,1,1,2
32443,1,1,1,1,1
32471,3,2,2,2,0
32521,1,1,1,1,1
32681,1,1,1,1,1
32746,4,3,1,1,1
32859,1,1,1,1,0
33007,4,1,1,1,1
33186,5,4,2,2,2
33190,1,1,1,1,1
33265,1,1,1,1,2
33361,2,3,0,0,0
33463,2,3,3,3,1
33472,1,1,1,1,5
33680,1,1,1,1,2
33752,1,1,1,1,1
33837,1,1,1,1,1
33903,2,1,1,1,1
33955,1,1,1,1,2
34067,2,2,1,1,1
34101,4,0,0,0,0
34243,4,2,1,1,1
34267,1,1,1,1,1
34437,3,3,3,2,1
34467,2,0,0,0,0
34491,1,1,1,1,1
34501,4,2,2,0,0
34603,1,1,1,1,1
34608,1,1,0,0,0
34631,3,2,1,1,0
34679,2,2,0,0,0
34931,1,2,2,1,3
35010,2,2,1,0,0
35087,1,2,2,0,0
35091,2,1,0,0,0
35138,1,1,1,1,3
35163,3,2,1,1,1
35181,3,2,1,1,1
35257,1,1,1,1,1
35344,1,1,1,1,0
35346,1,1,1,1,1
35417,1,1,1,1,1
35476,5,3,1,1,1
35634,2,0,0,0,0
35883,3,2,1,0,0
35922,2,1,1,1,1
36077,1,1,1,1,1
36109,2,2,1,1,3
36223,2,1,1,0,0
36308,5,1,1,1,1
36342,1,1,1,1,1
36362,5,3,5,4,1
36363,1,1,1,1,1
36430,1,1,2,3,3
36432,2,2,1,0,0
36555,5,3,1,1,0
36986,6,5,2,2,1
37046,1,1,1,1,1
37064,1,1,3,3,1
37073,1,1,1,1,1
37145,1,1,1,1,2
37237,1,1,1,1,1
37295,2,1,2,2,1
37307,1,1,1,1,1
37363,1,0,0,0,0
37408,1,1,1,1,1
37423,7,5,1,1,1
37496,1,1,2,2,1
37524,2,3,1,1,1
37616,2,0,0,0,0
37667,1,1,1,1,1
37691,3,1,0,0,0
37705,1,1,1,1,1
37872,2,2,1,1,1
37897,1,1,1,1,1
37961,1,1,1,1,1
37988,1,1,1,1,2
38226,4,1,1,1,1
38275,3,0,0,0,0
38283,3,2,1,1,1
38340,1,1,1,1,2
38375,1,1,1,1,1
38384,2,1,1,1,4
38409,3,4,2,5,0
38478,2,2,0,0,0
38551,2,1,1,1,1
38595,3,2,2,2,0
38685,1,1,1,1,2
38714,1,1,1,1,1
38775,2,0,0,0,0
38842,2,0,0,0,0
38854,2,2,0,0,0
38930,1,2,2,2,1
38963,1,1,1,1,1
38971,0,2,1,1,1
39004,1,0,0,0,0
39041,1,1,1,1,3
39043,4,2,0,0,0
39075,1,1,1,1,1
39393,2,1,1,1,1
39562,1,1,1,1,0
39566,1,1,1,1,1
39569,1,1,1,1,1
39594,8,4,3,2,1
39626,1,1,1,1,1
39809,3,2,2,1,1
39968,2,0,0,0,0
40140,1,1,1,1,2
40166,1,1,1,1,0
40283,10,0,0,0,0
40316,1,0,0,0,0
40439,1,1,1,1,1
40482,3,0,0,0,0
40594,1,2,2,1,1
40851,3,3,2,2,1
40969,4,1,0,0,0
41057,1,1,1,1,1
41122,1,1,1,1,1
41127,1,1,1,1,1
41142,7,2,1,1,3
41199,1,1,1,1,1
41237,1,1,1,1,2
41287,3,0,0,0,0
41325,3,1,1,2,1
41516,1,1,1,1,1
41554,2,1,0,0,0
41652,1,1,0,0,0
41795,1,1,1,1,2
41838,1,1,1,1,3
41924,5,1,1,0,0
42082,2,1,1,1,1
42108,5,3,3,3,0
42219,1,1,1,1,1
42235,1,1,1,1,1
42296,4,1,0,0,0
42349,1,1,1,1,1
42725,1,1,1,1,1
42824,1,1,1,1,1
42876,2,2,3,3,1
43137,4,1,3,1,1
43232,4,4,4,1,1
43265,8,8,12,9,1
43280,2,2,1,0,0
43494,4,1,1,0,0
43645,1,1,1,1,2
43766,1,1,0,0,0
43828,2,0,0,0,0
44022,1,1,1,1,1
44060,2,3,2,1,1
44216,3,1,1,1,1
44293,1,1,1,1,2
44417,2,0,0,0,0
44437,1,1,1,1,1
44520,2,1,1,1,3
44564,1,1,1,1,2
44652,1,1,1,1,1
44705,3,2,1,1,1
44857,13,4,0,0,0
44860,1,1,1,1,1
44932,1,1,1,1,1
44995,1,1,0,0,0
45131,4,2,2,2,2
45207,3,1,1,1,1
45232,7,1,1,1,1
45252,2,1,1,1,1
45485,1,1,2,3,1
45510,3,2,2,2,1
45539,1,1,1,1,1
45689,1,1,1,1,1
45866,2,2,1,1,1
45939,1,1,1,1,2
46162,2,3,2,2,1
46223,1,1,1,1,0
46298,3,1,1,1,1
46395,2,2,1,1,1
46437,1,1,1,2,1
46547,0,2,3,2,3
46653,1,1,1,1,1
46759,1,1,1,1,1
46766,1,1,1,1,1
46790,2,1,1,0,0
46845,1,2,1,1,1
46934,4,0,0,0,0
47291,1,1,1,1,1
47402,3,1,1,0,0
47419,2,2,2,2,0
47571,1,1,1,1,1
47860,2,1,1,2,0
47933,3,2,1,1,1
47934,1,1,1,1,1
48090,3,2,1,1,0
48144,5,0,0,0,0
48241,8,7,3,0,0
48372,2,2,1,1,1
48424,4,4,2,3,0
48431,1,1,1,1,1
48448,2,1,1,1,2
48473,2,4,4,2,0
48493,2,1,1,1,1
48563,1,1,1,1,2
48724,5,2,2,2,1
48787,1,1,1,1,1
48832,2,1,1,1,1
48833,2,2,1,1,1
48848,3,1,1,1,1
49004,2,3,0,0,0
49039,8,1,1,1,0
49270,1,1,1,1,1
49412,1,1,3,3,1
49450,2,2,2,2,1
49451,1,1,1,1,1
49709,1,1,4,4,1
49807,1,1,1,1,9
49952,2,2,2,1,1
49957,1,1,1,1,1
49998,1,1,0,0,0
49999,4,4,3,2,1
50024,1,1,1,1,1
50031,2,2,1,1,2
50053,1,1,1,1,1
50090,1,1,1,1,1
50144,1,1,1,1,1
50185,1,1,1,1,1
50271,1,1,1,1,1
50325,1,1,1,1,1
50445,4,1,1,1,1
50521,2,2,1,0,0
50599,2,0,0,0,0
50643,3,1,2,1,2
50692,1,0,0,0,0
51417,2,4,3,0,0
51444,1,1,0,0,0
51464,1,0,0,0,0
51493,1,1,1,1,1
51503,0,2,2,2,1
51526,3,2,1,2,1
51651,1,1,0,0,0
51668,1,1,1,1,2
51706,1,1,1,1,1
51814,1,1,1,1,1
51902,1,1,1,1,1
51917,1,1,1,1,2
52111,6,4,2,3,1
52160,2,1,1,1,2
52233,3,2,0,0,0
52309,2,3,2,0,0
52384,2,0,0,0,0
52396,1,1,1,1,1
52456,2,2,2,3,1
52461,1,1,1,1,1
52515,1,0,0,0,0
52516,1,1,1,1,1
52743,3,3,3,2,1
52765,1,1,1,1,1
52897,1,1,1,1,2
52901,2,1,2,0,0
52952,4,3,2,0,0
53094,1,1,1,1,1
53123,1,1,1,1,1
53126,1,1,1,1,1
53169,2,0,0,0,0
53217,2,1,1,0,0
53276,1,1,1,1,1
53365,1,0,0,0,0
53396,1,1,1,1,2
53425,2,1,1,1,0
53456,1,1,1,1,1
53721,1,1,1,1,2
53844,1,0,0,0,0
53975,4,1,1,1,1
53990,1,1,1,1,0
54231,1,1,1,1,1
54257,1,0,0,0,0
54291,1,1,1,1,1
54318,1,1,1,1,1
54363,1,1,1,1,1
54454,1,0,0,0,0
54476,3,1,1,0,0
54477,1,0,0,0,0
54500,2,2,0,0,0
54715,1,1,2,0,0
54893,1,1,1,1,1
55059,1,1,1,1,1
55113,1,1,1,1,1
55265,1,2,2,2,1
55333,1,1,1,1,2
55415,1,1,1,1,1
55448,3,2,1,1,1
55497,1,1,1,1,1
55512,4,2,2,2,1
55519,1,1,1,1,1
55626,2,1,1,1,0
55705,1,1,1,0,0
55951,3,0,0,0,0
56033,1,1,1,1,4
56294,2,2,1,1,1
56408,2,2,3,2,1
56417,8,2,2,2,0
56529,4,1,1,1,1
56570,3,2,1,1,0
56686,1,2,1,1,1
56782,3,1,1,0,0
56799,3,1,0,0,0
56923,1,1,2,2,2
57152,1,0,0,0,0
57223,1,3,5,3,1
57366,1,1,1,1,2
57378,1,1,1,1,2
57486,2,2,1,1,1
57733,1,2,2,1,1
57744,1,1,1,1,1
57753,1,1,1,1,1
58001,2,3,1,1,1
58194,1,3,2,2,1
58196,9,3,2,2,1
58456,6,3,1,1,4
58475,1,1,2,3,1
58561,1,1,1,1,1
58589,3,3,3,3,1
58676,1,1,1,1,1
58802,1,0,0,0,0
58867,1,1,1,1,1
58917,2,3,1,1,1
58962,1,3,1,1,1
58975,5,2,1,1,0
59089,2,1,1,1,1
59152,1,1,1,1,1
59279,1,0,0,0,0
59326,1,1,1,1,1
59338,3,3,2,1,1
59360,1,1,1,1,1
59605,1,1,0,0,0
59609,1,0,0,0,0
59736,1,1,0,0,0
59782,2,2,1,1,1
59802,1,2,2,2,1
59860,4,4,1,1,1
59889,7,1,1,0,0
59931,4,3,1,1,3
59988,1,1,1,1,1
60101,1,1,1,1,1
60119,1,1,1,1,1
60319,1,1,1,1,1
60327,2,2,1,1,1
60435,3,0,0,0,0
60483,1,1,1,1,1
60490,1,1,1,1,1
60529,7,1,0,0,0
60547,1,1,1,1,1
60802,4,3,1,1,0
60958,2,0,0,0,0
61007,4,0,0,0,0
61487,1,1,1,1,1
61596,1,1,1,1,1
61650,3,1,1,1,1
61699,2,1,1,1,0
61794,1,1,1,1,1
61810,5,0,0,0,0
61961,1,2,2,1,1
62005,3,2,2,1,0
62058,1,0,0,0,0
62097,2,2,1,1,1
62099,1,1,1,1,1
62157,1,2,0,0,0
62284,1,1,2,1,1
62290,1,0,0,0,0
62498,1,0,0,0,0
62503,3,1,1,1,0
62544,3,2,1,1,1
62754,1,1,1,1,1
62791,1,1,1,1,4
62805,1,1,1,1,1
62837,1,1,0,0,0
63001,1,1,1,0,0
63114,1,1,1,1,2
63130,2,0,0,0,0
63367,1,1,1,1,1
63369,1,0,0,0,0
63377,1,1,1,1,1
63467,1,1,1,1,1
63507,1,1,1,1,1
63715,2,1,1,1,0
63796,2,4,1,1,2
63812,1,1,1,0,0
63837,5,2,1,1,1
63879,3,1,1,2,4
63955,1,1,1,1,1
64020,1,2,2,1,1
64058,1,1,1,1,1
64420,1,1,1,1,1
64502,3,0,0,0,0
64635,0,0,0,0,2
64871,1,1,1,1,3
64877,1,2,3,2,1
64885,1,1,0,0,0
64964,2,2,1,1,1
65071,1,1,1,1,1
65117,1,1,1,1,1
65127,0,0,0,0,1
65146,1,1,1,1,1
65206,1,1,1,1,1
65221,1,1,1,1,1
65315,2,0,0,0,0
65388,1,1,1,1,1
65569,4,2,1,1,1
65700,1,1,1,1,5
65716,2,1,3,3,1
65768,1,0,0,0,0
65845,1,1,1,1,1
65899,14,3,0,0,0
65927,5,4,0,0,0
66071,1,1,1,1,1
66160,1,1,1,1,3
66169,2,2,2,2,1
66229,1,1,1,0,0
66417,1,1,1,1,1
66539,1,1,1,1,1
66543,2,0,0,0,0
66590,2,2,1,2,1
66653,4,0,0,0,0
66727,1,1,1,1,1
66930,1,2,3,2,0
67037,1,1,1,1,1
67159,1,2,2,1,1
67215,1,1,1,1,1
67221,1,1,1,1,2
67390,2,2,1,1,1
67452,1,1,1,1,1
67714,7,0,0,0,0
67837,1,0,0,0,0
67845,2,2,0,0,0
67870,5,1,1,1,1
67882,2,2,2,1,1
67899,1,1,0,1,1
67925,3,1,1,2,2
68116,1,0,0,0,0
68170,2,0,0,0,0
68211,1,1,1,1,1
68276,1,1,1,1,1
68455,1,1,1,1,1
68498,2,1,1,0,0
68506,1,1,1,1,0
68830,2,2,1,1,1
68854,3,1,1,1,1
68884,6,2,2,2,0
68886,1,1,1,1,2
68963,5,3,2,2,1
69146,4,0,0,0,0
69201,7,2,2,2,1
69255,1,0,0,1,1
69439,2,2,1,1,2
69464,2,0,0,0,0
69568,1,1,1,1,0
69586,1,1,1,1,1
69591,1,0,0,0,0
69598,1,1,1,1,1
69603,1,1,1,1,1
70127,1,1,1,1,2
70223,4,0,0,0,0
70225,1,1,1,3,1
70324,4,0,0,0,0
70493,1,1,1,1,1
70576,6,4,3,2,1
70685,2,1,0,0,0
70856,1,1,1,1,1
70863,1,0,0,0,0
71036,1,1,1,1,1
71159,2,0,0,0,0
71228,2,1,1,1,0
71296,5,5,1,1,1
71297,1,1,1,1,1
71340,1,1,1,1,1
71476,1,0,0,0,0
71626,2,3,1,1,0
71754,1,1,1,1,1
71996,1,1,1,1,2
72074,4,3,3,1,1
72221,3,3,3,3,1
72237,1,1,1,1,1
72291,2,2,0,0,0
72360,2,1,1,1,1
72388,1,1,1,1,0
72395,2,2,1,1,1
72614,3,1,1,0,0
72623,6,3,2,1,1
72671,1,1,1,1,2
72710,3,1,1,0,0
72909,3,2,3,2,1
72915,1,1,1,1,2
72916,1,1,1,1,1
72951,1,1,1,1,1
72956,1,1,1,1,1
72988,2,0,0,0,0
72994,2,2,2,1,1
73135,3,3,0,0,0
73293,1,1,0,0,0
73331,1,1,1,1,1
73335,1,1,1,1,1
73349,7,1,1,0,0
73453,2,1,1,1,1
73496,1,0,0,0,0
73578,2,2,1,1,1
73615,1,1,1,1,1
73624,1,1,1,1,1
73648,1,1,1,1,1
73649,1,1,2,2,1
73690,5,2,2,2,0
73910,1,1,1,1,1
74108,1,1,0,0,0
74113,1,2,2,1,2
74169,3,2,1,1,1
74232,1,1,1,1,1
74411,2,0,0,0,0
74413,1,1,1,1,1
74517,2,1,1,1,1
74552,3,1,1,1,1
74564,2,1,1,1,0
74844,3,1,1,1,0
74972,2,1,1,2,0
74976,3,2,1,1,1
75033,1,1,1,1,1
75071,1,1,1,1,1
75209,1,1,1,1,1
75235,3,3,1,1,1
75337,3,3,1,1,1
75381,1,1,0,0,0
75413,2,2,2,2,1
75490,1,1,1,1,1
75642,1,1,1,1,1
75865,3,1,1,1,1
76222,2,1,1,1,2
76268,3,2,2,1,1
76424,1,1,1,1,1
76429,2,2,1,1,3
76454,1,1,1,1,1
76481,10,6,2,1,1
76574,1,1,3,3,1
76631,1,2,1,0,0
76635,1,3,3,0,0
76775,1,1,0,0,0
76776,3,3,2,2,1
76970,1,1,1,1,6
77071,2,1,2,2,1
77159,2,1,1,1,1
77276,1,1,1,1,1
77286,1,1,1,1,1
77292,1,1,1,0,0
77363,1,1,1,1,4
77391,5,0,0,0,0
77424,4,0,0,0,0
77513,2,2,1,2,1
77642,2,2,1,1,1
77651,0,0,0,0,1
77706,3,1,1,0,0
77933,1,1,1,1,1
78215,1,1,1,1,0
78281,1,1,1,1,1
78359,1,1,0,0,0
78370,1,1,1,1,1
78424,2,1,2,1,0
78720,1,0,0,0,0
78728,2,1,1,1,0
78779,11,0,0,0,0
78908,1,1,1,1,1
78917,2,2,0,0,0
79002,1,1,1,1,2
79077,1,2,1,1,1
79127,3,3,1,1,1
79207,2,1,0,0,0
79229,2,1,1,0,0
79452,1,1,1,1,2
79471,1,1,1,1,1
79547,1,1,2,2,1
79571,1,1,1,1,2
79623,2,1,1,1,0
79669,5,2,0,0,0
79679,1,1,1,1,4
79716,1,1,1,1,1
79819,5,0,0,0,0
79884,2,2,2,2,1
79897,3,2,1,1,4
80006,2,2,2,2,1
80117,4,3,1,1,1
80126,1,1,1,1,2
80127,3,3,1,1,1
80241,3,1,0,0,0
80275,7,3,2,1,3
80442,2,3,3,2,1
80479,2,2,2,1,4
80559,1,1,1,1,1
80726,6,7,0,0,0
80801,4,3,3,3,0
80915,1,1,1,2,1
80920,2,1,1,0,0
80969,1,1,0,0,0
81096,1,1,1,1,1
81098,4,1,1,1,1
81102,1,1,1,1,1
81119,2,1,1,0,0
81146,0,0,0,0,1
81303,4,1,1,1,2
81430,2,1,1,1,0
81442,2,2,1,1,1
81601,2,1,1,1,7
81672,4,1,0,0,0
81720,5,1,1,1,2
81816,1,1,1,0,0
81963,1,1,1,1,1
81976,1,1,1,1,1
82206,1,1,1,1,2
82376,1,1,1,1,1
82557,2,2,0,0,0
82560,4,0,0,0,0
82566,1,1,1,1,1
82676,1,0,0,0,0
82712,26,1,4,4,0
82723,4,1,1,1,0
82734,1,1,1,1,1
82746,2,1,0,0,0
82757,1,1,1,1,1
82772,1,1,1,1,2
82869,1,1,1,1,1
82880,5,4,2,1,0
82901,1,0,0,0,0
83002,3,0,0,0,0
83066,2,1,1,1,0
83158,1,1,1,1,1
83363,1,1,1,1,1
83447,3,5,4,2,1
83480,1,1,1,1,1
83489,1,1,1,1,3
83503,2,0,0,0,0
83507,1,1,1,1,1
83585,1,1,1,1,2
83614,1,1,1,1,1
83683,1,0,0,0,0
83693,2,1,2,2,0
83778,1,3,1,1,1
83795,10,5,4,1,2
83828,2,2,1,1,1
83889,1,1,1,1,1
83892,1,1,1,2,1
83999,1,1,1,1,1
84067,1,1,1,1,1
84092,1,1,1,1,1
84108,1,1,1,1,1
84199,4,1,1,1,1
84226,1,1,1,1,0
84464,1,1,1,1,1
84480,3,2,1,1,1
84482,1,1,1,1,1
84498,1,0,0,0,0
84544,2,0,0,0,0
84596,2,0,0,0,0
84624,1,1,1,1,1
84658,3,2,2,1,1
84693,1,1,1,1,3
84702,6,1,1,0,0
84730,1,0,0,0,0
84856,1,1,1,1,1
84971,1,1,0,0,0
84976,5,1,1,1,1
85000,2,2,1,1,1
85097,6,2,0,0,0
85105,2,1,1,1,1
